"gene","beta","stderr","t","p","celltype","padj","label_color","leadingEdgeIn"
"ABHD16A",-0.0961913861808417,0.0531363960831621,-1.81027305710187,0.0726556057598581,"Myeloid",1,"grey",""
"DDAH2",0.00444382474435237,0.0526146090290891,0.0844599024178914,0.932825901526195,"Myeloid",1,"grey",""
"CLIC1",-0.0175765774508708,0.0354528328425254,-0.495773568474558,0.620924710921485,"Myeloid",1,"grey",""
"LSM2",-0.131694236315046,0.0492443068466656,-2.67430378754459,0.00848967949606336,"Myeloid",1,"grey",""
"HSPA1A",-0.274566122815638,0.06893558743482,-3.98293730470123,0.000114818648224812,"Myeloid",0.511517077841538,"grey",""
"HSPA1B",-0.300573821480961,0.0634105438210491,-4.74012369818512,5.71459544778051e-06,"Myeloid",0.0254585227198622,"grey",""
"SNHG32",-0.207168885530816,0.052696986443217,-3.93132320297004,0.000139096591374791,"Myeloid",0.619675314574693,"grey",""
"NEU1",0.000654505508282886,0.0604228796050221,0.0108320807045496,0.991374688108032,"Myeloid",1,"grey",""
"C2",0.0537607689941251,0.0750349524971713,0.716476351419717,0.47503375151653,"Myeloid",1,"grey","HALLMARK_COAGULATION"
"NELFE",-0.102472539037261,0.0553170228539044,-1.85245940129311,0.0663187113874062,"Myeloid",1,"grey",""
"ATF6B",-0.240296715422703,0.0566892280447083,-4.23884261103699,4.32777560262476e-05,"Myeloid",0.192802403096933,"grey",""
"AGPAT1",-0.213625969242696,0.049310516634263,-4.33225980630387,3.00079537752973e-05,"Myeloid",0.133685434068949,"grey",""
"RNF5",-0.257482691471918,0.0571794898589891,-4.50306031248091,1.51587523272147e-05,"Myeloid",0.0675322416177416,"grey",""
"GPSM3",-0.198926339463237,0.0352501539027099,-5.64327577156889,1.06165032857048e-07,"Myeloid",0.000472965221378147,"grey",""
"HLA-DRA",-0.224228986490015,0.0338831337858051,-6.6177168826088,9.6238539171126e-10,"Myeloid",4.28742692007366e-06,"grey",""
"HLA-DRB5",-0.298348139790976,0.0520209153426302,-5.73515744246209,6.9256155436086e-08,"Myeloid",0.000308536172467763,"grey",""
"HLA-DRB1",-0.229186058886813,0.0342056869419941,-6.7002326038786,6.35986016600406e-10,"Myeloid",2.83331770395481e-06,"grey",""
"HLA-DQA1",-0.464032906682679,0.0649346810033818,-7.14614901486174,6.53599049960768e-11,"Myeloid",2.91178376757522e-07,"grey",""
"HLA-DQB1",-0.285863410997854,0.0467954726980642,-6.10878348942673,1.17526860044421e-08,"Myeloid",5.23582161497895e-05,"grey",""
"TAP2",-0.334629990270537,0.0545875131521876,-6.1301563479839,1.0600673387108e-08,"Myeloid",4.72259999395661e-05,"grey",""
"PSMB8",-0.299339244274767,0.0416085311960145,-7.19417955093402,5.09770469359773e-11,"Myeloid",2.27102744099779e-07,"grey",""
"PSMB9",-0.500993658484169,0.0478093981499879,-10.4789785663574,7.96250834453876e-19,"Myeloid",3.54729746749202e-15,"grey",""
"TAP1",-0.356024688583955,0.0613997189587846,-5.7984742376906,5.14858144450022e-08,"Myeloid",0.000229369303352485,"grey",""
"HLA-DMB",-0.132808711491108,0.0575113059403054,-2.30926266270076,0.0225699380264266,"Myeloid",1,"grey",""
"HLA-DMA",-0.111406807642935,0.0446084879566689,-2.49743519105942,0.0138092692495004,"Myeloid",1,"grey",""
"BRD2",-0.208784158627211,0.0531156934025237,-3.93074335008664,0.000139395309470091,"Myeloid",0.621006103689255,"grey",""
"HLA-DOA",-0.356343082809086,0.060803810264982,-5.8605386941402,3.84366717454874e-08,"Myeloid",0.000171235372626147,"grey",""
